class_id,synset,count
185,n02094114,130
186,n02094258,130
187,n02094433,130
188,n02095314,98
189,n02095570,130
190,n02095889,94
191,n02096051,130
192,n02096177,130
193,n02096294,130
194,n02096437,116
195,n02096585,130
196,n02097047,130
197,n02097130,130
198,n02097209,130
199,n02097298,130
200,n02097474,130
201,n02097658,130
202,n02098105,130
203,n02098286,130
204,n02098413,130
205,n02099267,130
206,n02099429,122
207,n02099601,130
208,n02099712,130
209,n02099849,130
210,n02100236,130
211,n02100583,130
212,n02100735,130
213,n02100877,130
214,n02101006,130
215,n02101388,130
216,n02101556,130
217,n02102040,130
218,n02102177,130
219,n02102318,130
220,n02102480,130
221,n02102973,97
222,n02104029,130
223,n02104365,130
224,n02105056,130
225,n02105162,130
226,n02105251,130
227,n02105412,130
228,n02105505,130
229,n02105641,130
230,n02105855,130
231,n02106030,130
232,n02106166,130
233,n02106382,130
234,n02106550,130
235,n02106662,130
236,n02107142,130
237,n02107312,130
238,n02107574,130
239,n02107683,130
240,n02107908,130
241,n02108000,130
242,n02108089,130
243,n02108422,130
244,n02108551,130
245,n02108915,130
246,n02109047,130
247,n02109525,130
248,n02109961,130
249,n02110063,130
250,n02110185,130
251,n02110341,130
252,n02110627,96
253,n02110806,130
254,n02110958,130
255,n02111129,130
256,n02111277,130
257,n02111500,130
258,n02111889,130
259,n02112018,130
260,n02112137,130
261,n02112350,130
262,n02112706,107
263,n02113023,130
264,n02113186,130
265,n02113624,130
266,n02113712,130
267,n02113799,130
268,n02113978,76
269,n02114367,130
270,n02114548,130
271,n02114712,130
272,n02114855,130
273,n02115641,130
274,n02115913,130
275,n02116738,130
276,n02117135,130
277,n02119022,130
278,n02119789,130
279,n02120079,130
280,n02120505,130
281,n02123045,130
282,n02123159,130
283,n02123394,130
284,n02123597,130
285,n02124075,130
286,n02125311,130
287,n02127052,130
288,n02128385,130
289,n02128757,130
290,n02128925,130
291,n02129165,130
292,n02129604,130
293,n02130308,130
294,n02132136,130
295,n02133161,130
296,n02134084,130
297,n02134418,130
298,n02137549,130
299,n02138441,130
300,n02165105,130
301,n02165456,130
302,n02167151,130
303,n02168699,130
304,n02169497,130
305,n02172182,130
306,n02174001,130
307,n02177972,130
308,n02190166,130
309,n02206856,130
310,n02219486,130
311,n02226429,130
312,n02229544,130
313,n02231487,130
314,n02233338,130
315,n02236044,130
316,n02256656,130
317,n02259212,130
318,n02264363,130
319,n02268443,130
320,n02268853,130
321,n02276258,130
322,n02277742,130
323,n02279972,130
324,n02280649,130
325,n02281406,130
326,n02281787,130
327,n02317335,130
328,n02319095,130
329,n02321529,130
330,n02325366,130
331,n02326432,130
332,n02328150,130
333,n02342885,130
334,n02346627,130
335,n02356798,121
336,n02361337,130
337,n02363005,130
338,n02364673,130
339,n02389026,130
340,n02391049,130
341,n02395406,130
342,n02396427,130
343,n02397096,130
344,n02398521,130
345,n02403003,130
346,n02408429,130
347,n02410509,130
348,n02412080,130
349,n02415577,130
350,n02417914,130
351,n02422106,130
352,n02422699,130
353,n02423022,130
354,n02437312,130
355,n02437616,130
356,n02441942,130
357,n02442845,130
358,n02443114,130
359,n02443484,130
360,n02444819,130
361,n02445715,130
362,n02447366,130
363,n02454379,130
364,n02457408,130
365,n02480495,130
366,n02480855,130
367,n02481823,130
368,n02483362,130
369,n02483708,130
370,n02484975,130
371,n02486261,130
372,n02486410,130
373,n02487347,130
374,n02488291,130
375,n02488702,130
376,n02489166,130
377,n02490219,130
378,n02492035,130
379,n02492660,130
380,n02493509,130
381,n02493793,130
382,n02494079,130
383,n02497673,130
384,n02500267,130
385,n02504013,130
386,n02504458,130
387,n02509815,130
388,n02510455,130
389,n02514041,130
390,n02526121,117
391,n02536864,130
392,n02606052,97
393,n02607072,130
394,n02640242,130
395,n02641379,130
396,n02643566,130
397,n02655020,130
398,n02666196,130
399,n02667093,130
400,n02669723,130
401,n02672831,130
402,n02676566,130
403,n02687172,130
404,n02690373,130
405,n02692877,130
406,n02699494,130
407,n02701002,130
408,n02704792,130
409,n02708093,130
410,n02727426,130
411,n02730930,130
412,n02747177,130
413,n02749479,130
414,n02769748,130
415,n02776631,130
416,n02777292,130
417,n02782093,130
418,n02783161,124
419,n02786058,130
420,n02787622,130
421,n02788148,130
422,n02790996,130
423,n02791124,130
424,n02791270,130
425,n02793495,130
426,n02794156,120
427,n02795169,130
428,n02797295,130
429,n02799071,130
430,n02802426,130
431,n02804414,130
432,n02804610,130
433,n02807133,130
434,n02808304,130
435,n02808440,130
436,n02814533,130
437,n02814860,130
438,n02815834,130
439,n02817516,121
440,n02823428,130
441,n02823750,130
442,n02825657,130
443,n02834397,130
444,n02835271,130
445,n02837789,130
446,n02840245,130
447,n02841315,130
448,n02843684,130
449,n02859443,130
450,n02860847,130
451,n02865351,130
452,n02869837,130
453,n02870880,130
454,n02871525,130
455,n02877765,130
456,n02879718,130
457,n02883205,130
458,n02892201,130
459,n02892767,130
460,n02894605,130
461,n02895154,130
462,n02906734,130
463,n02909870,130
464,n02910353,130
465,n02916936,118
466,n02917067,130
467,n02927161,130
468,n02930766,130
469,n02939185,130
470,n02948072,130
471,n02950826,130
472,n02951358,130
473,n02951585,130
474,n02963159,130
475,n02965783,130
476,n02966193,130
477,n02966687,130
478,n02971356,130
479,n02974003,130
480,n02977058,130
481,n02978881,119
482,n02979186,130
483,n02980441,130
484,n02981792,130
485,n02988304,130
486,n02992211,130
487,n02992529,130
488,n02999410,130
489,n03000134,130
490,n03000247,130
491,n03000684,120
492,n03014705,130
493,n03016953,130
494,n03017168,130
495,n03018349,130
496,n03026506,130
497,n03028079,130
498,n03032252,130
499,n03041632,107
500,n03042490,130
501,n03045698,103
502,n03047690,130
503,n03062245,116
504,n03063599,130
505,n03063689,130
506,n03065424,130
507,n03075370,122
508,n03085013,130
509,n03089624,130
510,n03095699,130
511,n03100240,130
512,n03109150,130
513,n03110669,130
514,n03124043,130
515,n03124170,130
516,n03125729,130
517,n03126707,130
518,n03127747,130
519,n03127925,130
520,n03131574,130
521,n03133878,119
522,n03134739,130
523,n03141823,130
524,n03146219,130
525,n03160309,130
526,n03179701,130
527,n03180011,130
528,n03187595,130
529,n03188531,130
530,n03196217,130
531,n03197337,89
532,n03201208,130
533,n03207743,130
534,n03207941,130
535,n03208938,130
536,n03216828,122
537,n03218198,130
538,n03220513,130
539,n03223299,130
540,n03240683,130
541,n03249569,130
542,n03250847,130
543,n03255030,130
544,n03259280,130
545,n03271574,130
546,n03272010,130
547,n03272562,130
548,n03290653,130
549,n03291819,130
550,n03297495,114
551,n03314780,116
552,n03325584,130
553,n03337140,130
554,n03344393,130
555,n03345487,130
556,n03347037,130
557,n03355925,130
558,n03372029,130
559,n03376595,130
560,n03379051,130
561,n03384352,130
562,n03388043,130
563,n03388183,130
564,n03388549,130
565,n03393912,130
566,n03394916,130
567,n03400231,123
568,n03404251,130
569,n03417042,130
570,n03424325,130
571,n03425413,130
572,n03443371,130
573,n03444034,130
574,n03445777,130
575,n03445924,130
576,n03447447,130
577,n03447721,129
578,n03450230,130
579,n03452741,130
580,n03457902,130
581,n03459775,130
582,n03461385,130
583,n03467068,129
584,n03476684,130
585,n03476991,98
586,n03478589,130
587,n03481172,130
588,n03482405,130
589,n03483316,130
590,n03485407,104
591,n03485794,130
592,n03492542,130
593,n03494278,130
594,n03495258,130
595,n03496892,130
596,n03498962,90
597,n03527444,130
598,n03529860,130
599,n03530642,130
600,n03532672,130
601,n03534580,130
602,n03535780,130
603,n03538406,130
604,n03544143,130
605,n03584254,130
606,n03584829,130
607,n03590841,130
608,n03594734,130
609,n03594945,130
610,n03595614,129
611,n03598930,130
612,n03599486,130
613,n03602883,130
614,n03617480,130
615,n03623198,130
616,n03627232,130
617,n03630383,130
618,n03633091,130
619,n03637318,130
620,n03642806,130
621,n03649909,130
622,n03657121,130
623,n03658185,99
624,n03661043,130
625,n03662601,130
626,n03666591,130
627,n03670208,130
628,n03673027,130
629,n03676483,130
630,n03680355,114
631,n03690938,128
632,n03691459,130
633,n03692522,130
634,n03697007,130
635,n03706229,116
636,n03709823,130
637,n03710193,130
638,n03710637,130
639,n03710721,130
640,n03717622,130
641,n03720891,130
642,n03721384,130
643,n03724870,130
644,n03729826,130
645,n03733131,130
646,n03733281,130
647,n03733805,130
648,n03742115,130
649,n03743016,130
650,n03759954,130
651,n03761084,130
652,n03763968,130
653,n03764736,110
654,n03769881,130
655,n03770439,130
656,n03770679,130
657,n03773504,130
658,n03775071,130
659,n03775546,130
660,n03776460,130
661,n03777568,130
662,n03777754,115
663,n03781244,116
664,n03782006,130
665,n03785016,130
666,n03786901,130
667,n03787032,130
668,n03788195,130
669,n03788365,130
670,n03791053,130
671,n03792782,130
672,n03792972,130
673,n03793489,130
674,n03794056,130
675,n03796401,116
676,n03803284,114
677,n03804744,130
678,n03814639,118
679,n03814906,130
680,n03825788,130
681,n03832673,130
682,n03837869,130
683,n03838899,130
684,n03840681,130
685,n03841143,130
686,n03843555,112
687,n03854065,130
688,n03857828,130
689,n03866082,101
690,n03868242,130
691,n03868863,130
692,n03871628,130
693,n03873416,130
694,n03874293,130
695,n03874599,130
696,n03876231,130
697,n03877472,130
698,n03877845,130
699,n03884397,130
700,n03887697,130
701,n03888257,130
702,n03888605,130
703,n03891251,130
704,n03891332,130
705,n03895866,130
706,n03899768,116
707,n03902125,130
708,n03903868,116
709,n03908618,130
710,n03908714,130
711,n03916031,130
712,n03920288,97
713,n03924679,130
714,n03929660,116
715,n03929855,130
716,n03930313,130
717,n03930630,130
718,n03933933,130
719,n03935335,130
720,n03937543,130
721,n03938244,130
722,n03942813,129
723,n03944341,112
724,n03947888,112
725,n03950228,130
726,n03954731,130
727,n03956157,127
728,n03958227,107
729,n03961711,106
730,n03967562,130
731,n03970156,126
732,n03976467,130
733,n03976657,130
734,n03977966,130
735,n03980874,130
736,n03982430,130
737,n03983396,130
738,n03991062,130
739,n03992509,130
740,n03995372,91
741,n03998194,130
742,n04004767,130
743,n04005630,130
744,n04008634,130
745,n04009552,130
746,n04019541,130
747,n04023962,125
748,n04026417,130
749,n04033901,130
750,n04033995,130
751,n04037443,130
752,n04039381,130
753,n04040759,126
754,n04041544,130
755,n04044716,130
756,n04049303,130
757,n04065272,130
758,n04067472,130
759,n04069434,130
760,n04070727,130
761,n04074963,130
762,n04081281,130
763,n04086273,130
764,n04090263,130
765,n04099969,130
766,n04111531,130
767,n04116512,130
768,n04118538,130
769,n04118776,130
770,n04120489,130
771,n04125021,103
772,n04127249,126
773,n04131690,130
774,n04133789,130
775,n04136333,130
776,n04141076,130
777,n04141327,130
778,n04141975,130
779,n04146614,130
780,n04147183,130
781,n04149813,130
782,n04152593,127
783,n04153751,130
784,n04154565,130
785,n04162706,130
786,n04179913,130
787,n04192698,130
788,n04200800,130
789,n04201297,125
790,n04204238,130
791,n04204347,130
792,n04208210,130
793,n04209133,130
794,n04209239,130
795,n04228054,130
796,n04229816,130
797,n04235860,130
798,n04238763,117
799,n04239074,130
800,n04243546,130
801,n04251144,130
802,n04252077,130
803,n04252225,130
804,n04254120,130
805,n04254680,130
806,n04254777,130
807,n04258138,130
808,n04259630,130
809,n04263257,130
810,n04264628,105
811,n04265275,101
812,n04266014,124
813,n04270147,130
814,n04273569,130
815,n04275548,130
816,n04277352,130
817,n04285008,130
818,n04286575,130
819,n04296562,130
820,n04310018,130
821,n04311004,116
822,n04311174,130
823,n04317175,130
824,n04325704,130
825,n04326547,130
826,n04328186,109
827,n04330267,130
828,n04332243,130
829,n04335435,130
830,n04336792,130
831,n04344873,130
832,n04346328,130
833,n04347754,130
834,n04350905,130
835,n04355338,130
836,n04355933,130
837,n04356056,130
838,n04357314,122
839,n04366367,130
840,n04367480,130
841,n04370456,94
842,n04371430,130
843,n04371774,130
844,n04372370,130
845,n04376876,130
846,n04380533,130
847,n04389033,130
848,n04392985,130
849,n04398044,130
850,n04399382,130
851,n04404412,130
852,n04409515,130
853,n04417672,130
854,n04418357,127
855,n04423845,130
856,n04428191,130
857,n04429376,98
858,n04435653,130
859,n04442312,130
860,n04443257,125
861,n04447861,130
862,n04456115,130
863,n04458633,130
864,n04461696,130
865,n04462240,130
866,n04465501,130
867,n04467665,130
868,n04476259,130
869,n04479046,106
870,n04482393,130
871,n04483307,130
872,n04485082,116
873,n04486054,130
874,n04487081,130
875,n04487394,130
876,n04493381,130
877,n04501370,130
878,n04505470,130
879,n04507155,130
880,n04509417,130
881,n04515003,130
882,n04517823,130
883,n04522168,130
884,n04523525,130
885,n04525038,107
886,n04525305,130
887,n04532106,130
888,n04532670,130
889,n04536866,130
890,n04540053,130
891,n04542943,114
892,n04548280,130
893,n04548362,130
894,n04550184,130
895,n04552348,130
896,n04553703,130
897,n04554684,130
898,n04557648,130
899,n04560804,130
900,n04562935,130
901,n04579145,106
902,n04579432,130
903,n04584207,130
904,n04589890,130
905,n04590129,130
906,n04591157,122
907,n04591713,130
908,n04592741,130
909,n04596742,130
910,n04597913,130
911,n04599235,130
912,n04604644,130
913,n04606251,130
914,n04612504,121
915,n04613696,130
916,n06359193,130
917,n06596364,130
918,n06785654,130
919,n06794110,130
920,n06874185,130
921,n07248320,116
922,n07565083,130
923,n07579787,130
924,n07583066,130
925,n07584110,121
926,n07590611,115
927,n07613480,130
928,n07614500,130
929,n07615774,130
930,n07684084,130
931,n07693725,130
932,n07695742,130
933,n07697313,130
934,n07697537,130
935,n07711569,130
936,n07714571,130
937,n07714990,130
938,n07715103,130
939,n07716358,130
940,n07716906,124
941,n07717410,130
942,n07717556,130
943,n07718472,130
944,n07718747,130
945,n07720875,130
946,n07730033,113
947,n07734744,130
948,n07742313,130
949,n07745940,130
950,n07747607,130
951,n07749582,130
952,n07753113,130
953,n07753275,130
954,n07753592,130
955,n07754684,130
956,n07760859,130
957,n07768694,130
958,n07802026,130
959,n07831146,130
960,n07836838,130
961,n07860988,130
962,n07871810,130
963,n07873807,130
964,n07875152,130
965,n07880968,130
966,n07892512,130
967,n07920052,130
968,n07930864,130
969,n07932039,120
970,n09193705,130
971,n09229709,130
972,n09246464,130
973,n09256479,130
974,n09288635,130
975,n09332890,130
976,n09399592,130
977,n09421951,130
978,n09428293,130
979,n09468604,130
980,n09472597,130
981,n09835506,130
982,n10148035,130
983,n10565667,130
984,n11879895,130
985,n11939491,130
986,n12057211,130
987,n12144580,130
988,n12267677,130
989,n12620546,130
990,n12768682,130
991,n12985857,130
992,n12998815,130
993,n13037406,130
994,n13040303,130
995,n13044778,130
996,n13052670,130
997,n13054560,130
998,n13133613,130
999,n15075141,130
