class_id,class_name,total,noise_score,corrupted,grayscale,small,low_contrast,near_blank,color_outlier,color_var
n02979186,cassette player,1300,4.8,0,6,0,0,0,4,0.0546
n03196217,digital clock,1300,4.8,0,6,0,0,0,4,0.0796
n03623198,knee pad,1300,4.8,0,9,0,0,0,2,0.0595
n03657121,lens cap,1300,4.8,0,6,0,0,0,4,0.0527
n04118776,rule,1300,4.8,0,6,0,0,0,4,0.0624
n04162706,seat belt,1300,4.8,0,6,0,0,0,4,0.0361
n04286575,spotlight,1300,4.8,0,9,0,0,0,2,0.0766
n04370456,sweatshirt,931,4.8,0,6,0,0,0,4,0.0542
n04404412,television,1300,4.8,0,6,0,0,0,4,0.0487
n04517823,vacuum,1300,4.8,0,6,0,0,0,4,0.0471
n07565083,menu,1300,4.8,0,6,0,0,0,4,0.0546
n02095314,wire-haired fox terrier,977,4.6,0,2,2,0,0,3,0.0358
n02879718,bow,1300,4.6,0,3,1,0,0,4,0.0568
n02951585,can opener,1300,4.6,0,7,0,0,0,3,0.0675
n02992529,cellular telephone,1300,4.6,0,7,0,0,0,3,0.0482
n03888257,parachute,1300,4.6,0,1,0,3,0,2,0.0816
n04153751,screw,1300,4.6,0,7,0,0,0,3,0.0571
n04376876,syringe,1300,4.6,0,7,0,0,0,3,0.0563
n04589890,window screen,1300,4.6,0,7,0,0,0,3,0.0398
n02687172,aircraft carrier,1300,4.4,0,5,0,0,0,4,0.0419
n02790996,barbell,1300,4.4,0,5,0,0,0,4,0.0493
n02974003,car wheel,1300,4.4,0,8,0,0,0,2,0.0296
n03141823,crutch,1300,4.4,0,5,0,0,0,4,0.0343
n03187595,dial telephone,1300,4.4,0,5,0,0,0,4,0.0503
n03255030,dumbbell,1300,4.4,0,5,0,0,0,4,0.0585
n03459775,grille,1300,4.4,0,5,0,0,0,4,0.0326
n03544143,hourglass,1300,4.4,0,5,0,0,0,4,0.0653
n03658185,letter opener,986,4.4,0,4,0,1,0,3,0.0631
n03692522,loupe,1300,4.4,0,8,0,0,0,2,0.0701
n03804744,nail,1300,4.4,0,5,0,0,0,4,0.0539
n03838899,oboe,1300,4.4,0,4,1,0,0,3,0.0502
n03843555,oil filter,1120,4.4,0,4,1,0,0,3,0.0599
n03868863,oxygen mask,1300,4.4,0,2,0,0,0,6,0.0526
n03891251,park bench,1300,4.4,0,5,0,0,0,4,0.0371
n03924679,photocopier,1300,4.4,0,5,0,0,0,4,0.0439
n04069434,reflex camera,1300,4.4,0,8,0,0,0,2,0.0459
n04086273,revolver,1300,4.4,0,4,1,0,0,3,0.0537
n04090263,rifle,1300,4.4,0,5,0,0,0,4,0.0508
n04208210,shovel,1300,4.4,0,5,0,0,0,4,0.0477
n04418357,theater curtain,1264,4.4,0,3,1,1,0,2,0.0668
n04562935,water tower,1300,4.4,0,8,0,0,0,2,0.0525
n07932039,eggnog,1193,4.4,0,1,1,0,0,5,0.0491
n02099267,flat-coated retriever,1300,4.2,0,6,0,0,0,3,0.0383
n02437616,llama,1300,4.2,0,3,0,0,0,5,0.0356
n02480855,gorilla,1300,4.2,0,3,0,0,0,5,0.0279
n02950826,cannon,1300,4.2,0,3,0,0,0,5,0.0302
n02988304,CD player,1300,4.2,0,6,0,0,0,3,0.0545
n03110669,cornet,1300,4.2,0,6,0,0,0,3,0.0522
n03126707,crane,1300,4.2,0,3,0,0,0,5,0.0498
n03146219,cuirass,1300,4.2,0,2,1,0,0,4,0.0415
n03197337,digital watch,889,4.2,0,9,0,0,0,1,0.059
n03388183,fountain pen,1300,4.2,0,6,0,0,0,3,0.0541
n03495258,harp,1300,4.2,0,6,0,0,0,3,0.0489
n03895866,passenger car,1300,4.2,0,6,0,0,0,3,0.0318
n04141327,scabbard,1300,4.2,0,3,0,0,0,5,0.0684
n04154565,screwdriver,1300,4.2,0,6,0,0,0,3,0.0694
n04532670,viaduct,1300,4.2,0,6,0,0,0,3,0.036
n01770081,harvestman,1300,4.0,0,2,0,2,0,2,0.0536
n01773549,barn spider,1300,4.0,0,4,0,0,0,4,0.0657
n02097298,Scotch terrier,1300,4.0,0,4,0,0,0,4,0.0327
n02667093,abaya,1300,4.0,0,7,0,0,0,2,0.0582
n02892201,brass,1300,4.0,0,7,0,0,0,2,0.039
n03017168,chime,1300,4.0,0,4,0,0,0,4,0.0545
n03271574,electric fan,1300,4.0,0,4,0,0,0,4,0.0456
n03376595,folding chair,1300,4.0,0,4,0,0,0,4,0.0461
n03467068,guillotine,1283,4.0,0,4,0,0,0,4,0.0535
n03595614,jersey,1285,4.0,0,4,0,0,0,4,0.0491
n03633091,ladle,1300,4.0,0,7,0,0,0,2,0.0518
n03666591,lighter,1300,4.0,0,4,0,0,0,4,0.0656
n03793489,mouse,1300,4.0,0,4,0,0,0,4,0.0456
n03794056,mousetrap,1300,4.0,0,4,0,0,0,4,0.0583
n03814906,necklace,1300,4.0,0,3,0,1,0,3,0.0652
n03903868,pedestal,1156,4.0,0,4,0,0,0,4,0.0486
n04179913,sewing machine,1300,4.0,0,4,0,0,0,4,0.0393
n04328186,stopwatch,1084,4.0,0,4,0,0,0,4,0.0586
n04392985,tape player,1300,4.0,0,4,0,0,0,4,0.0493
n09472597,volcano,1300,4.0,0,1,0,0,0,6,0.0475
n01491361,tiger shark,1300,3.8,0,4,0,1,0,2,0.0607
n01784675,centipede,1300,3.8,0,1,0,1,0,4,0.0465
n02106382,Bouvier des Flandres,1300,3.8,0,5,0,0,0,3,0.0313
n02396427,wild boar,1300,3.8,0,2,0,0,0,5,0.0335
n03000247,chain mail,1300,3.8,0,4,1,0,0,2,0.0371
n03062245,cocktail shaker,1154,3.8,0,5,0,0,0,3,0.0651
n03065424,coil,1300,3.8,0,5,0,0,0,3,0.0454
n03207941,dishwasher,1300,3.8,0,5,0,0,0,3,0.0375
n03786901,mortar,1300,3.8,0,5,0,0,0,3,0.0516
n03908714,pencil sharpener,1300,3.8,0,5,0,0,0,3,0.066
n03929855,pickelhaube,1300,3.8,0,5,0,0,0,3,0.048
n03942813,ping-pong ball,1282,3.8,0,1,1,0,0,4,0.0433
n04372370,switch,1300,3.8,0,5,0,0,0,3,0.0648
n04423845,thimble,1300,3.8,0,2,0,0,0,5,0.0528
n04515003,upright,1300,3.8,0,5,0,0,0,3,0.0446
n02109961,Eskimo dog,1300,3.6,0,3,0,0,0,4,0.0365
n02481823,chimpanzee,1300,3.6,0,3,0,0,0,4,0.0307
n02782093,balloon,1300,3.6,0,0,0,0,0,6,0.0526
n02787622,banjo,1300,3.6,0,6,0,0,0,2,0.0466
n02791124,barber chair,1300,3.6,0,3,0,0,0,4,0.0421
n02837789,bikini,1300,3.6,0,6,0,0,0,2,0.0457
n02909870,bucket,1300,3.6,0,3,0,0,0,4,0.0418
n02910353,buckle,1300,3.6,0,6,0,0,0,2,0.0639
n02978881,cassette,1186,3.6,0,3,0,0,0,4,0.0549
n03400231,frying pan,1222,3.6,0,2,1,0,0,3,0.0479
n03709823,mailbag,1300,3.6,0,3,0,0,0,4,0.0469
n03733805,measuring cup,1300,3.6,0,2,0,1,0,3,0.0541
n03791053,motor scooter,1300,3.6,0,3,0,0,0,4,0.0339
n03814639,neck brace,1180,3.6,0,3,0,0,0,4,0.0426
n03950228,pitcher,1300,3.6,0,3,0,0,0,4,0.0517
n03976467,Polaroid camera,1300,3.6,0,6,0,0,0,2,0.0473
n04239074,sliding door,1300,3.6,0,3,0,0,0,4,0.0385
n04542943,waffle iron,1137,3.6,0,3,0,0,0,4,0.0478
n01775062,wolf spider,1300,3.4,0,1,0,0,0,5,0.0393
n02058221,albatross,1300,3.4,0,4,0,0,0,3,0.0619
n02092339,Weimaraner,1300,3.4,0,4,0,0,0,3,0.0368
n02134084,ice bear,1300,3.4,0,0,1,0,0,4,0.0428
n02137549,mongoose,1300,3.4,0,0,0,1,0,4,0.0328
n02442845,mink,1300,3.4,0,3,0,1,0,2,0.0288
n02692877,airship,1300,3.4,0,4,0,0,0,3,0.0587
n02791270,barbershop,1300,3.4,0,7,0,0,0,1,0.0285
n03016953,chiffonier,1300,3.4,0,3,1,0,0,2,0.043
n03337140,file,1300,3.4,0,4,0,0,0,3,0.0455
n03347037,fire screen,1300,3.4,0,4,0,0,0,3,0.0408
n03394916,French horn,1300,3.4,0,4,0,0,0,3,0.0447
n03481172,hammer,1300,3.4,0,7,0,0,0,1,0.0508
n03637318,lampshade,1300,3.4,0,4,0,0,0,3,0.063
n03642806,laptop,1300,3.4,0,4,0,0,0,3,0.0448
n03670208,limousine,1300,3.4,0,4,0,0,0,3,0.0467
n03721384,marimba,1300,3.4,0,4,0,0,0,3,0.042
n03841143,odometer,1300,3.4,0,4,0,0,0,3,0.0386
n03874599,padlock,1300,3.4,0,4,0,0,0,3,0.0408
n03887697,paper towel,1300,3.4,0,4,0,0,0,3,0.0462
n03956157,planetarium,1270,3.4,0,4,0,0,0,3,0.0408
n03992509,potter's wheel,1300,3.4,0,1,0,0,0,5,0.0374
n04004767,printer,1300,3.4,0,4,0,0,0,3,0.0485
n04067472,reel,1300,3.4,0,4,0,0,0,3,0.0526
n04141975,scale,1300,3.4,0,4,0,0,0,3,0.0591
n04252225,snowplow,1300,3.4,0,4,0,0,0,3,0.0383
n04389033,tank,1300,3.4,0,4,0,0,0,3,0.0364
n04487394,trombone,1300,3.4,0,7,0,0,0,1,0.0494
n04557648,water bottle,1300,3.4,0,4,0,0,0,3,0.0521
n04560804,water jug,1300,3.4,0,4,0,0,0,3,0.0415
n06359193,web site,1300,3.4,0,7,0,0,0,1,0.0602
n01484850,great white shark,1300,3.2,0,2,0,0,0,4,0.0559
n01698640,American alligator,1300,3.2,0,1,0,1,0,3,0.0376
n01751748,sea snake,1300,3.2,0,1,0,1,0,3,0.0544
n01774384,black widow,1300,3.2,0,4,0,1,0,1,0.0573
n01776313,tick,1300,3.2,0,2,0,0,0,4,0.0613
n01796340,ptarmigan,1300,3.2,0,2,0,0,0,4,0.0443
n01990800,isopod,1300,3.2,0,2,0,0,0,4,0.0571
n02088094,Afghan hound,1300,3.2,0,2,0,0,0,4,0.0374
n02110185,Siberian husky,1300,3.2,0,2,0,0,0,4,0.0364
n02231487,walking stick,1300,3.2,0,2,0,0,0,4,0.0533
n02319095,sea urchin,1300,3.2,0,1,0,1,0,3,0.0357
n02356798,fox squirrel,1206,3.2,0,0,2,0,0,2,0.0356
n02690373,airliner,1300,3.2,0,2,0,0,0,4,0.0541
n02747177,ashcan,1300,3.2,0,5,0,0,0,2,0.0393
n02939185,caldron,1300,3.2,0,5,0,0,0,2,0.0433
n03028079,church,1300,3.2,0,2,0,0,0,4,0.0377
n03125729,cradle,1300,3.2,0,2,0,0,0,4,0.0454
n03249569,drum,1300,3.2,0,2,0,0,0,4,0.0483
n03445777,golf ball,1300,3.2,0,2,0,0,0,4,0.0524
n03584254,iPod,1300,3.2,0,2,0,0,0,4,0.0548
n03584829,iron,1300,3.2,0,2,0,0,0,4,0.0572
n03676483,lipstick,1300,3.2,0,1,0,1,0,3,0.0571
n03724870,mask,1300,3.2,0,2,0,0,0,4,0.0458
n03770439,miniskirt,1300,3.2,0,2,0,0,0,4,0.0407
n03832673,notebook,1300,3.2,0,5,0,0,0,2,0.0476
n03874293,paddlewheel,1300,3.2,0,1,1,0,0,3,0.0369
n03961711,plate rack,1053,3.2,0,2,0,0,0,4,0.0467
n04033901,quill,1300,3.2,0,2,0,0,0,4,0.0635
n04044716,radio telescope,1300,3.2,0,5,0,0,0,2,0.0393
n04099969,rocking chair,1300,3.2,0,2,0,0,0,4,0.048
n04254680,soccer ball,1300,3.2,0,2,0,0,0,4,0.0418
n04275548,spider web,1300,3.2,0,5,0,0,0,2,0.0423
n04346328,stupa,1300,3.2,0,2,0,0,0,4,0.0453
n04350905,suit,1300,3.2,0,5,0,0,0,2,0.0428
n04357314,sunscreen,1217,3.2,0,1,1,0,0,3,0.0548
n04429376,throne,976,3.2,0,1,1,0,0,3,0.0444
n04525038,velvet,1062,3.2,0,0,1,1,0,2,0.0526
n01608432,kite,1300,3.0,0,5,0,1,0,0,0.1039
n01728920,ringneck snake,1300,3.0,0,3,0,0,0,3,0.0335
n01773157,black and gold garden spider,1300,3.0,0,2,0,1,0,2,0.0477
n02097047,miniature schnauzer,1300,3.0,0,3,0,0,0,3,0.0342
n02104029,kuvasz,1300,3.0,0,3,0,0,0,3,0.0365
n02105251,briard,1300,3.0,0,3,0,0,0,3,0.0298
n02108089,boxer,1300,3.0,0,3,0,0,0,3,0.043
n02108422,bull mastiff,1300,3.0,0,0,0,0,0,5,0.0332
n02110341,dalmatian,1300,3.0,0,3,0,0,0,3,0.0366
n02110958,pug,1300,3.0,0,3,0,0,0,3,0.0371
n02111889,Samoyed,1300,3.0,0,3,0,0,0,3,0.037
n02134418,sloth bear,1300,3.0,0,2,1,0,0,2,0.0283
n02206856,bee,1300,3.0,0,0,0,0,0,5,0.0438
n02793495,barn,1300,3.0,0,6,0,0,0,1,0.0369
n02794156,barometer,1199,3.0,0,3,0,0,0,3,0.0506
n02895154,breastplate,1300,3.0,0,3,0,0,0,3,0.0452
n03000134,chainlink fence,1300,3.0,0,3,0,0,0,3,0.0373
n03250847,drumstick,1300,3.0,0,3,0,0,0,3,0.059
n03478589,half track,1300,3.0,0,6,0,0,0,1,0.0357
n03483316,hand blower,1300,3.0,0,3,0,0,0,3,0.0564
n03527444,holster,1300,3.0,0,3,0,0,0,3,0.0478
n03706229,magnetic compass,1155,3.0,0,3,0,0,0,3,0.0612
n03761084,microwave,1300,3.0,0,3,0,0,0,3,0.0346
n04201297,shoji,1249,3.0,0,3,0,0,0,3,0.0356
n04229816,ski mask,1300,3.0,0,3,0,0,0,3,0.0456
n04311174,steel drum,1300,3.0,0,3,0,0,0,3,0.0366
n04347754,submarine,1300,3.0,0,6,0,0,0,1,0.0449
n04356056,sunglasses,1300,3.0,0,3,0,0,0,3,0.0517
n04398044,teapot,1300,3.0,0,3,0,0,0,3,0.0464
n04479046,trench coat,1053,3.0,0,3,0,0,0,3,0.0444
n04501370,turnstile,1300,3.0,0,3,0,0,0,3,0.0354
n04532106,vestment,1300,3.0,0,3,0,0,0,3,0.0391
n04552348,warplane,1300,3.0,0,3,0,0,0,3,0.0622
n04554684,washer,1300,3.0,0,3,0,0,0,3,0.0391
n04590129,window shade,1300,3.0,0,3,0,0,0,3,0.04
n04591157,Windsor tie,1213,3.0,0,3,0,0,0,3,0.0564
n09246464,cliff,1300,3.0,0,3,0,0,0,3,0.0342
n01496331,electric ray,1300,2.8,0,1,0,0,0,4,0.0525
n01534433,junco,1300,2.8,0,1,0,0,0,4,0.0482
n01622779,great grey owl,1300,2.8,0,1,0,0,0,4,0.0417
n01641577,bullfrog,1300,2.8,0,0,0,1,0,3,0.038
n01665541,leatherback turtle,1300,2.8,0,1,0,0,0,4,0.044
n01737021,water snake,1300,2.8,0,0,0,1,0,3,0.0427
n01768244,trilobite,1300,2.8,0,4,0,0,0,2,0.0379
n01910747,jellyfish,1300,2.8,0,0,0,1,0,3,0.0748
n02009229,little blue heron,1300,2.8,0,1,0,0,0,4,0.0435
n02028035,redshank,1300,2.8,0,1,0,0,0,4,0.0557
n02086910,papillon,1300,2.8,0,0,1,0,0,3,0.0347
n02094114,Norfolk terrier,1300,2.8,0,0,1,0,0,3,0.0388
n02104365,schipperke,1300,2.8,0,4,0,0,0,2,0.0385
n02105056,groenendael,1300,2.8,0,3,1,0,0,1,0.0351
n02113624,toy poodle,1300,2.8,0,1,0,0,0,4,0.0349
n02120505,grey fox,1300,2.8,0,1,0,0,0,4,0.0386
n02123597,Siamese cat,1300,2.8,0,1,0,0,0,4,0.0384
n02174001,rhinoceros beetle,1300,2.8,0,1,0,0,0,4,0.0359
n02190166,fly,1300,2.8,0,1,0,0,0,4,0.0521
n02363005,beaver,1300,2.8,0,1,0,0,0,4,0.0382
n02391049,zebra,1300,2.8,0,1,0,0,0,4,0.0325
n02786058,Band Aid,1300,2.8,0,1,0,0,0,4,0.0526
n02808440,bathtub,1300,2.8,0,4,0,0,0,2,0.0371
n02841315,binoculars,1300,2.8,0,4,0,0,0,2,0.0506
n02966687,carpenter's kit,1300,2.8,0,1,0,0,0,4,0.0586
n03063689,coffeepot,1300,2.8,0,4,0,0,0,2,0.0444
n03124043,cowboy boot,1300,2.8,0,1,0,0,0,4,0.0451
n03447721,gong,1282,2.8,0,0,1,0,0,3,0.0544
n03485794,handkerchief,1300,2.8,0,1,0,0,0,4,0.0426
n03742115,medicine chest,1300,2.8,0,1,0,0,0,4,0.036
n03763968,military uniform,1300,2.8,0,4,0,0,0,2,0.0376
n03782006,monitor,1300,2.8,0,4,0,0,0,2,0.0489
n03788365,mosquito net,1300,2.8,0,4,0,0,0,2,0.0394
n03876231,paintbrush,1300,2.8,0,1,0,0,0,4,0.0511
n03920288,Petri dish,962,2.8,0,4,0,0,0,2,0.0528
n03935335,piggy bank,1300,2.8,0,1,0,0,0,4,0.0493
n04070727,refrigerator,1300,2.8,0,4,0,0,0,2,0.0351
n04131690,saltshaker,1300,2.8,0,4,0,0,0,2,0.045
n04264628,space bar,1045,2.8,0,4,0,0,0,2,0.0448
n04344873,studio couch,1300,2.8,0,1,0,0,0,4,0.0387
n04507155,umbrella,1300,2.8,0,1,0,0,0,4,0.0477
n04548280,wall clock,1299,2.8,0,4,0,0,0,2,0.0492
n07802026,hay,1300,2.8,0,4,0,0,0,2,0.0375
n07892512,red wine,1300,2.8,0,1,0,0,0,4,0.0563
n09835506,ballplayer,1300,2.8,0,1,0,0,0,4,0.0406
n01494475,hammerhead,1300,2.6,0,1,0,1,0,2,0.0717
n01498041,stingray,1300,2.6,0,2,0,0,0,3,0.054
n01704323,triceratops,1266,2.6,0,2,0,0,0,3,0.0442
n01734418,king snake,1300,2.6,0,2,0,0,0,3,0.0345
n01740131,night snake,1300,2.6,0,2,0,0,0,3,0.0442
n01798484,prairie chicken,1300,2.6,0,1,0,1,0,2,0.0456
n02009912,American egret,1300,2.6,0,1,0,1,0,2,0.0633
n02085936,Maltese dog,1300,2.6,0,2,0,0,0,3,0.0399
n02086646,Blenheim spaniel,1300,2.6,0,2,0,0,0,3,0.0333
n02088466,bloodhound,1300,2.6,0,2,0,0,0,3,0.0399
n02089078,black-and-tan coonhound,732,2.6,0,1,1,0,0,2,0.0343
n02093647,Bedlington terrier,1258,2.6,0,2,0,0,0,3,0.0393
n02097130,giant schnauzer,1300,2.6,0,2,0,0,0,3,0.0334
n02099601,golden retriever,1300,2.6,0,1,1,0,0,2,0.0331
n02105855,Shetland sheepdog,1300,2.6,0,2,0,0,0,3,0.0317
n02109525,Saint Bernard,1300,2.6,0,2,0,0,0,3,0.0441
n02328150,Angora,1300,2.6,0,2,0,0,0,3,0.0362
n02488291,langur,1300,2.6,0,2,0,0,0,3,0.0311
n02493793,spider monkey,1300,2.6,0,1,1,0,0,2,0.0368
n02504458,African elephant,1300,2.6,0,1,1,0,0,2,0.0317
n02666196,abacus,1300,2.6,0,2,0,0,0,3,0.0424
n02799071,baseball,1300,2.6,0,2,0,0,0,3,0.0543
n02815834,beaker,1300,2.6,0,2,0,0,0,3,0.059
n02817516,bearskin,1209,2.6,0,2,0,0,0,3,0.0379
n02906734,broom,1300,2.6,0,2,0,0,0,3,0.0472
n02980441,castle,1300,2.6,0,2,0,0,0,3,0.0447
n02992211,cello,1300,2.6,0,2,0,0,0,3,0.0506
n03188531,diaper,1300,2.6,0,2,0,0,0,3,0.0451
n03535780,horizontal bar,1300,2.6,0,2,0,0,0,3,0.0556
n03630383,lab coat,1300,2.6,0,2,0,0,0,3,0.0429
n03673027,liner,1300,2.6,0,2,0,0,0,3,0.0424
n03680355,Loafer,1137,2.6,0,2,0,0,0,3,0.0454
n03729826,matchstick,1300,2.6,0,2,0,0,0,3,0.0734
n03764736,milk can,1097,2.6,0,1,1,0,0,2,0.0382
n03916031,perfume,1300,2.6,0,2,0,0,0,3,0.06
n03976657,pole,1300,2.6,0,2,0,0,0,3,0.0545
n03982430,pool table,1300,2.6,0,2,0,0,0,3,0.0602
n04120489,running shoe,1300,2.6,0,2,0,0,0,3,0.0401
n04149813,scoreboard,1300,2.6,0,2,0,0,0,3,0.0442
n04209239,shower curtain,1300,2.6,0,2,0,0,0,3,0.0352
n04254120,soap dispenser,1300,2.6,0,2,0,0,0,3,0.0569
n04266014,space shuttle,1238,2.6,0,1,1,0,0,2,0.0582
n04409515,tennis ball,1300,2.6,0,1,0,1,0,2,0.0561
n09229709,bubble,1300,2.6,0,2,0,0,0,3,0.0458
n09288635,geyser,1300,2.6,0,2,0,0,0,3,0.0309
n12144580,corn,1300,2.6,0,2,0,0,0,3,0.0431
n01440764,tench,1300,2.4,0,0,0,0,0,4,0.0354
n01514859,hen,1300,2.4,0,0,0,0,0,4,0.0305
n01537544,indigo bunting,1300,2.4,0,0,0,0,0,4,0.0452
n01614925,bald eagle,1300,2.4,0,3,0,0,0,2,0.0726
n01632777,axolotl,1300,2.4,0,0,0,0,0,4,0.0415
n01664065,loggerhead,1300,2.4,0,0,0,0,0,4,0.0537
n01694178,African chameleon,1300,2.4,0,0,0,0,0,4,0.0378
n01729977,green snake,1300,2.4,0,0,0,0,0,4,0.0418
n01755581,diamondback,1300,2.4,0,3,0,0,0,2,0.0313
n01806143,peacock,1300,2.4,0,0,0,0,0,4,0.0311
n01843065,jacamar,1300,2.4,0,0,0,0,0,4,0.035
n01950731,sea slug,1300,2.4,0,0,0,0,0,4,0.0334
n02002724,black stork,1300,2.4,0,0,0,0,0,4,0.0626
n02018207,American coot,1300,2.4,0,3,0,0,0,2,0.0436
n02051845,pelican,1300,2.4,0,0,0,0,0,4,0.0491
n02086240,Shih-Tzu,1300,2.4,0,3,0,0,0,2,0.033
n02089867,Walker hound,1025,2.4,0,0,0,0,0,4,0.0353
n02089973,English foxhound,754,2.4,0,0,0,0,0,4,0.0324
n02091134,whippet,1300,2.4,0,3,0,0,0,2,0.0398
n02107142,Doberman,1300,2.4,0,0,0,0,0,4,0.0403
n02113799,standard poodle,1300,2.4,0,3,0,0,0,2,0.037
n02119789,kit fox,1300,2.4,0,0,0,0,0,4,0.0314
n02120079,Arctic fox,1300,2.4,0,3,0,0,0,2,0.0386
n02123045,tabby,1300,2.4,0,0,0,0,0,4,0.0401
n02128757,snow leopard,1300,2.4,0,3,0,0,0,2,0.0268
n02422106,hartebeest,1300,2.4,0,0,0,0,0,4,0.0381
n02437312,Arabian camel,1300,2.4,0,0,0,0,0,4,0.0402
n02445715,skunk,1300,2.4,0,3,0,0,0,2,0.0337
n02483708,siamang,1300,2.4,0,3,0,0,0,2,0.0361
n02488702,colobus,1300,2.4,0,3,0,0,0,2,0.0259
n02640242,sturgeon,1300,2.4,0,3,0,0,0,2,0.0343
n02655020,puffer,1300,2.4,0,0,0,0,0,4,0.0448
n02769748,backpack,1300,2.4,0,3,0,0,0,2,0.0492
n02777292,balance beam,1300,2.4,0,0,0,0,0,4,0.047
n02927161,butcher shop,1300,2.4,0,0,0,0,0,4,0.0267
n02930766,cab,1300,2.4,0,0,0,0,0,4,0.0334
n02965783,car mirror,1300,2.4,0,3,0,0,0,2,0.0375
n03045698,cloak,1029,2.4,0,2,0,1,0,1,0.0407
n03047690,clog,1300,2.4,0,0,0,0,0,4,0.0431
n03220513,dome,1300,2.4,0,3,0,0,0,2,0.0408
n03290653,entertainment center,1300,2.4,0,0,0,0,0,4,0.0355
n03372029,flute,1300,2.4,0,3,0,0,0,2,0.0512
n03388043,fountain,1300,2.4,0,3,0,0,0,2,0.0421
n03482405,hamper,1300,2.4,0,0,0,0,0,4,0.0468
n03485407,hand-held computer,1034,2.4,0,1,2,0,0,0,0.0537
n03627232,knot,1300,2.4,0,3,0,0,0,2,0.0574
n03710721,maillot,1300,2.4,0,3,0,0,0,2,0.0457
n03776460,mobile home,1300,2.4,0,3,0,0,0,2,0.0345
n03777568,Model T,1300,2.4,0,3,0,0,0,2,0.0307
n03792972,mountain tent,1300,2.4,0,0,0,0,0,4,0.041
n03857828,oscilloscope,1300,2.4,0,0,0,0,0,4,0.045
n03908618,pencil box,1300,2.4,0,0,0,0,0,4,0.0498
n03958227,plastic bag,1069,2.4,0,3,0,0,0,2,0.0403
n03998194,prayer rug,1300,2.4,0,0,0,0,0,4,0.0383
