class_id,class_name,num_images
n02109525,Saint Bernard,1300
n02109961,Eskimo dog,1300
n02110063,malamute,1300
n02110185,Siberian husky,1300
n02110341,dalmatian,1300
n02110806,basenji,1300
n02110958,pug,1300
n02111129,Leonberg,1300
n02111277,Newfoundland,1300
n02111500,Great Pyrenees,1300
n02111889,Samoyed,1300
n02112018,Pomeranian,1300
n02112137,chow,1300
n02112350,keeshond,1300
n02113023,Pembroke,1300
n02113186,Cardigan,1300
n02113624,toy poodle,1300
n02113712,miniature poodle,1300
n02113799,standard poodle,1300
n02114367,timber wolf,1300
n02114548,white wolf,1300
n02114712,red wolf,1300
n02114855,coyote,1300
n02115641,dingo,1300
n02115913,dhole,1300
n02116738,African hunting dog,1300
n02117135,hyena,1300
n02119022,red fox,1300
n02119789,kit fox,1300
n02120079,Arctic fox,1300
n02120505,grey fox,1300
n02123045,tabby,1300
n02123159,tiger cat,1300
n02123394,Persian cat,1300
n02123597,Siamese cat,1300
n02124075,Egyptian cat,1300
n02125311,cougar,1300
n02127052,lynx,1300
n02128385,leopard,1300
n02128757,snow leopard,1300
n02128925,jaguar,1300
n02129165,lion,1300
n02129604,tiger,1300
n02130308,cheetah,1300
n02132136,brown bear,1300
n02133161,American black bear,1300
n02134084,ice bear,1300
n02134418,sloth bear,1300
n02137549,mongoose,1300
n02138441,meerkat,1300
n02165105,tiger beetle,1300
n02165456,ladybug,1300
n02167151,ground beetle,1300
n02168699,long-horned beetle,1300
n02169497,leaf beetle,1300
n02172182,dung beetle,1300
n02174001,rhinoceros beetle,1300
n02177972,weevil,1300
n02190166,fly,1300
n02206856,bee,1300
n02219486,ant,1300
n02226429,grasshopper,1300
n02229544,cricket,1300
n02231487,walking stick,1300
n02233338,cockroach,1300
n02236044,mantis,1300
n02256656,cicada,1300
n02259212,leafhopper,1300
n02264363,lacewing,1300
n02268443,dragonfly,1300
n02268853,damselfly,1300
n02276258,admiral,1300
n02277742,ringlet,1300
n02279972,monarch,1300
n02280649,cabbage butterfly,1300
n02281406,sulphur butterfly,1300
n02281787,lycaenid,1300
n02317335,starfish,1300
n02319095,sea urchin,1300
n02321529,sea cucumber,1300
n02325366,wood rabbit,1300
n02326432,hare,1300
n02328150,Angora,1300
n02342885,hamster,1300
n02346627,porcupine,1300
n02361337,marmot,1300
n02363005,beaver,1300
n02364673,guinea pig,1300
n02389026,sorrel,1300
n02391049,zebra,1300
n02395406,hog,1300
n02396427,wild boar,1300
n02397096,warthog,1300
n02398521,hippopotamus,1300
n02403003,ox,1300
n02408429,water buffalo,1300
n02410509,bison,1300
n02412080,ram,1300
n02415577,bighorn,1300
n02417914,ibex,1300
n02422106,hartebeest,1300
n02422699,impala,1300
n02423022,gazelle,1300
n02437312,Arabian camel,1300
n02437616,llama,1300
n02441942,weasel,1300
n02442845,mink,1300
n02443114,polecat,1300
n02443484,black-footed ferret,1300
n02444819,otter,1300
n02445715,skunk,1300
n02447366,badger,1300
n02454379,armadillo,1300
n02457408,three-toed sloth,1300
n02480495,orangutan,1300
n02480855,gorilla,1300
n02481823,chimpanzee,1300
n02483362,gibbon,1300
n02483708,siamang,1300
n02484975,guenon,1300
n02486261,patas,1300
n02486410,baboon,1300
n02487347,macaque,1300
n02488291,langur,1300
n02488702,colobus,1300
n02489166,proboscis monkey,1300
n02490219,marmoset,1300
n02492035,capuchin,1300
n02492660,howler monkey,1300
n02493509,titi,1300
n02493793,spider monkey,1300
n02494079,squirrel monkey,1300
n02497673,Madagascar cat,1300
n02500267,indri,1300
n02504013,Indian elephant,1300
n02504458,African elephant,1300
n02509815,lesser panda,1300
n02510455,giant panda,1300
n02514041,barracouta,1300
n02536864,coho,1300
n02607072,anemone fish,1300
n02640242,sturgeon,1300
n02641379,gar,1300
n02643566,lionfish,1300
n02655020,puffer,1300
n02666196,abacus,1300
n02667093,abaya,1300
n02669723,academic gown,1300
n02672831,accordion,1300
n02676566,acoustic guitar,1300
n02687172,aircraft carrier,1300
n02690373,airliner,1300
n02692877,airship,1300
n02699494,altar,1300
n02701002,ambulance,1300
n02704792,amphibian,1300
n02727426,apiary,1300
n02730930,apron,1300
n02747177,ashcan,1300
n02749479,assault rifle,1300
n02769748,backpack,1300
n02776631,bakery,1300
n02777292,balance beam,1300
n02782093,balloon,1300
n02786058,Band Aid,1300
n02787622,banjo,1300
n02788148,bannister,1300
n02790996,barbell,1300
n02791124,barber chair,1300
n02791270,barbershop,1300
n02793495,barn,1300
n02795169,barrel,1300
n02797295,barrow,1300
n02799071,baseball,1300
n02802426,basketball,1300
n02804414,bassinet,1300
n02804610,bassoon,1300
n02807133,bathing cap,1300
n02808304,bath towel,1300
n02808440,bathtub,1300
n02814533,beach wagon,1300
n02814860,beacon,1300
n02815834,beaker,1300
n02823428,beer bottle,1300
n02823750,beer glass,1300
n02825657,bell cote,1300
n02834397,bib,1300
n02835271,bicycle-built-for-two,1300
n02837789,bikini,1300
n02840245,binder,1300
n02841315,binoculars,1300
n02843684,birdhouse,1300
n02859443,boathouse,1300
n02860847,bobsled,1300
n02865351,bolo tie,1300
n02869837,bonnet,1300
n02870880,bookcase,1300
n02871525,bookshop,1300
n02877765,bottlecap,1300
n02879718,bow,1300
n02883205,bow tie,1300
n02892201,brass,1300
n02892767,brassiere,1300
n02894605,breakwater,1300
n02895154,breastplate,1300
n02906734,broom,1300
n02909870,bucket,1300
n02910353,buckle,1300
n02917067,bullet train,1300
n02927161,butcher shop,1300
n02930766,cab,1300
n02939185,caldron,1300
n02948072,candle,1300
n02950826,cannon,1300
n02951358,canoe,1300
n02951585,can opener,1300
n02963159,cardigan,1300
n02965783,car mirror,1300
n02966193,carousel,1300
n02966687,carpenter's kit,1300
n02971356,carton,1300
n02974003,car wheel,1300
n02977058,cash machine,1300
n02979186,cassette player,1300
n02980441,castle,1300
n02981792,catamaran,1300
n02988304,CD player,1300
n02992211,cello,1300
n02992529,cellular telephone,1300
n02999410,chain,1300
n03000134,chainlink fence,1300
n03000247,chain mail,1300
n03014705,chest,1300
n03016953,chiffonier,1300
n03017168,chime,1300
n03018349,china cabinet,1300
n03026506,Christmas stocking,1300
n03028079,church,1300
n03032252,cinema,1300
n03042490,cliff dwelling,1300
n03047690,clog,1300
n03063599,coffee mug,1300
n03063689,coffeepot,1300
n03065424,coil,1300
n03085013,computer keyboard,1300
n03089624,confectionery,1300
n03095699,container ship,1300
n03100240,convertible,1300
n03109150,corkscrew,1300
n03110669,cornet,1300
n03124043,cowboy boot,1300
n03124170,cowboy hat,1300
n03125729,cradle,1300
n03126707,crane,1300
n03127747,crash helmet,1300
n03127925,crate,1300
n03131574,crib,1300
n03134739,croquet ball,1300
n03141823,crutch,1300
n03146219,cuirass,1300
n03160309,dam,1300
n03179701,desk,1300
n03180011,desktop computer,1300
n03187595,dial telephone,1300
n03188531,diaper,1300
n03196217,digital clock,1300
n03201208,dining table,1300
n03207743,dishrag,1300
n03207941,dishwasher,1300
n03208938,disk brake,1300
n03218198,dogsled,1300
n03220513,dome,1300
n03223299,doormat,1300
n03240683,drilling platform,1300
n03249569,drum,1300
n03250847,drumstick,1300
n03255030,dumbbell,1300
n03259280,Dutch oven,1300
n03271574,electric fan,1300
n03272010,electric guitar,1300
n03272562,electric locomotive,1300
n03290653,entertainment center,1300
n03291819,envelope,1300
n03325584,feather boa,1300
n03337140,file,1300
n03344393,fireboat,1300
n03345487,fire engine,1300
n03347037,fire screen,1300
n03355925,flagpole,1300
n03372029,flute,1300
n03376595,folding chair,1300
n03379051,football helmet,1300
n03384352,forklift,1300
n03388043,fountain,1300
n03388183,fountain pen,1300
n03388549,four-poster,1300
n03393912,freight car,1300
n03394916,French horn,1300
n03404251,fur coat,1300
n03417042,garbage truck,1300
n03424325,gasmask,1300
n03425413,gas pump,1300
n03443371,goblet,1300
n03444034,go-kart,1300
n03445777,golf ball,1300
n03445924,golfcart,1300
n03447447,gondola,1300
n03450230,gown,1300
n03452741,grand piano,1300
n03457902,greenhouse,1300
n03459775,grille,1300
n03461385,grocery store,1300
n03476684,hair slide,1300
n03478589,half track,1300
n03481172,hammer,1300
n03482405,hamper,1300
n03483316,hand blower,1300
n03485794,handkerchief,1300
n03492542,hard disc,1300
n03494278,harmonica,1300
n03495258,harp,1300
n03496892,harvester,1300
n03527444,holster,1300
n03529860,home theater,1300
n03530642,honeycomb,1300
n03532672,hook,1300
n03534580,hoopskirt,1300
n03535780,horizontal bar,1300
n03538406,horse cart,1300
n03544143,hourglass,1300
n03584254,iPod,1300
n03584829,iron,1300
n03590841,jack-o'-lantern,1300
n03594734,jean,1300
n03594945,jeep,1300
n03598930,jigsaw puzzle,1300
n03599486,jinrikisha,1300
n03602883,joystick,1300
n03617480,kimono,1300
n03623198,knee pad,1300
n03627232,knot,1300
n03630383,lab coat,1300
n03633091,ladle,1300
n03637318,lampshade,1300
n03642806,laptop,1300
n03649909,lawn mower,1300
n03657121,lens cap,1300
n03661043,library,1300
n03662601,lifeboat,1300
n03666591,lighter,1300
n03670208,limousine,1300
n03673027,liner,1300
n03676483,lipstick,1300
n03691459,loudspeaker,1300
n03692522,loupe,1300
n03697007,lumbermill,1300
n03709823,mailbag,1300
n03710193,mailbox,1300
n03710637,maillot,1300
n03710721,maillot,1300
n03717622,manhole cover,1300
n03720891,maraca,1300
n03721384,marimba,1300
n03724870,mask,1300
n03729826,matchstick,1300
n03733131,maypole,1300
n03733281,maze,1300
n03733805,measuring cup,1300
n03742115,medicine chest,1300
n03743016,megalith,1300
n03759954,microphone,1300
n03761084,microwave,1300
n03763968,military uniform,1300
n03769881,minibus,1300
n03770439,miniskirt,1300
n03770679,minivan,1300
n03773504,missile,1300
n03775071,mitten,1300
n03775546,mixing bowl,1300
n03776460,mobile home,1300
n03777568,Model T,1300
n03782006,monitor,1300
n03785016,moped,1300
n03786901,mortar,1300
n03787032,mortarboard,1300
n03788195,mosque,1300
n03788365,mosquito net,1300
n03791053,motor scooter,1300
n03792782,mountain bike,1300
n03792972,mountain tent,1300
n03793489,mouse,1300
n03794056,mousetrap,1300
n03804744,nail,1300
n03814906,necklace,1300
n03825788,nipple,1300
n03832673,notebook,1300
n03837869,obelisk,1300
n03838899,oboe,1300
n03840681,ocarina,1300
n03841143,odometer,1300
n03854065,organ,1300
n03857828,oscilloscope,1300
n03868242,oxcart,1300
n03868863,oxygen mask,1300
n03871628,packet,1300
n03873416,paddle,1300
n03874293,paddlewheel,1300
n03874599,padlock,1300
n03876231,paintbrush,1300
n03877472,pajama,1300
n03877845,palace,1300
n03884397,panpipe,1300
n03887697,paper towel,1300
n03888257,parachute,1300
n03888605,parallel bars,1300
n03891251,park bench,1300
n03891332,parking meter,1300
n03895866,passenger car,1300
n03902125,pay-phone,1300
n03908618,pencil box,1300
n03908714,pencil sharpener,1300
n03916031,perfume,1300
n03924679,photocopier,1300
n03929855,pickelhaube,1300
n03930313,picket fence,1300
n03930630,pickup,1300
n03933933,pier,1300
n03935335,piggy bank,1300
n03937543,pill bottle,1300
n03938244,pillow,1300
n03950228,pitcher,1300
n03954731,plane,1300
n03967562,plow,1300
n03976467,Polaroid camera,1300
n03976657,pole,1300
n03977966,police van,1300
n03980874,poncho,1300
n03982430,pool table,1300
n03983396,pop bottle,1300
n03991062,pot,1300
n03992509,potter's wheel,1300
n03998194,prayer rug,1300
n04004767,printer,1300
n04005630,prison,1300
n04008634,projectile,1300
n04009552,projector,1300
n04019541,puck,1300
n04026417,purse,1300
n04033901,quill,1300
n04033995,quilt,1300
n04037443,racer,1300
n04039381,racket,1300
n04041544,radio,1300
n04044716,radio telescope,1300
n04049303,rain barrel,1300
n04065272,recreational vehicle,1300
n04067472,reel,1300
n04069434,reflex camera,1300
n04070727,refrigerator,1300
n04074963,remote control,1300
n04081281,restaurant,1300
n04086273,revolver,1300
n04090263,rifle,1300
n04099969,rocking chair,1300
n04111531,rotisserie,1300
n04116512,rubber eraser,1300
n04118538,rugby ball,1300
n04118776,rule,1300
n04120489,running shoe,1300
n04131690,saltshaker,1300
n04133789,sandal,1300
n04136333,sarong,1300
n04141076,sax,1300
n04141327,scabbard,1300
n04141975,scale,1300
n04146614,school bus,1300
n04147183,schooner,1300
n04149813,scoreboard,1300
n04153751,screw,1300
n04154565,screwdriver,1300
n04162706,seat belt,1300
n04179913,sewing machine,1300
n04192698,shield,1300
n04200800,shoe shop,1300
n04204238,shopping basket,1300
n04204347,shopping cart,1300
n04208210,shovel,1300
n04209133,shower cap,1300
n04209239,shower curtain,1300
n04228054,ski,1300
n04229816,ski mask,1300
n04235860,sleeping bag,1300
n04239074,sliding door,1300
n04243546,slot,1300
n04251144,snorkel,1300
n04252077,snowmobile,1300
n04252225,snowplow,1300
n04254120,soap dispenser,1300
n04254680,soccer ball,1300
n04254777,sock,1300
n04258138,solar dish,1300
n04259630,sombrero,1300
n04263257,soup bowl,1300
n04270147,spatula,1300
n04273569,speedboat,1300
n04275548,spider web,1300
n04277352,spindle,1300
n04285008,sports car,1300
n04286575,spotlight,1300
n04296562,stage,1300
n04310018,steam locomotive,1300
n04311174,steel drum,1300
n04317175,stethoscope,1300
n04325704,stole,1300
n04326547,stone wall,1300
n04330267,stove,1300
n04332243,strainer,1300
n04335435,streetcar,1300
n04336792,stretcher,1300
n04344873,studio couch,1300
n04346328,stupa,1300
n04347754,submarine,1300
n04350905,suit,1300
n04355338,sundial,1300
n04355933,sunglass,1300
n04356056,sunglasses,1300
n04366367,suspension bridge,1300
n04367480,swab,1300
n04371430,swimming trunks,1300
n04371774,swing,1300
n04372370,switch,1300
n04376876,syringe,1300
n04380533,table lamp,1300
n04389033,tank,1300
n04392985,tape player,1300
n04398044,teapot,1300
n04399382,teddy,1300
n04404412,television,1300
n04409515,tennis ball,1300
n04417672,thatch,1300
n04423845,thimble,1300
n04428191,thresher,1300
n04435653,tile roof,1300
n04442312,toaster,1300
n04447861,toilet seat,1300
n04456115,torch,1300
n04458633,totem pole,1300
n04461696,tow truck,1300
n04462240,toyshop,1300
n04465501,tractor,1300
n04467665,trailer truck,1300
n04476259,tray,1300
n04482393,tricycle,1300
n04483307,trimaran,1300
n04486054,triumphal arch,1300
n04487081,trolleybus,1300
n04487394,trombone,1300
n04493381,tub,1300
n04501370,turnstile,1300
n04505470,typewriter keyboard,1300
n04507155,umbrella,1300
n04509417,unicycle,1300
n04515003,upright,1300
n04517823,vacuum,1300
n04522168,vase,1300
n04523525,vault,1300
n04525305,vending machine,1300
n04532106,vestment,1300
n04532670,viaduct,1300
n04536866,violin,1300
n04540053,volleyball,1300
n04548362,wallet,1300
n04550184,wardrobe,1300
n04552348,warplane,1300
n04553703,washbasin,1300
n04554684,washer,1300
n04557648,water bottle,1300
n04560804,water jug,1300
n04562935,water tower,1300
n04579432,whistle,1300
n04584207,wig,1300
n04589890,window screen,1300
n04590129,window shade,1300
n04591713,wine bottle,1300
n04592741,wing,1300
n04596742,wok,1300
n04597913,wooden spoon,1300
n04599235,wool,1300
n04604644,worm fence,1300
n04606251,wreck,1300
n04613696,yurt,1300
n06359193,web site,1300
n06596364,comic book,1300
n06785654,crossword puzzle,1300
n06794110,street sign,1300
n06874185,traffic light,1300
n07565083,menu,1300
n07579787,plate,1300
n07583066,guacamole,1300
n07613480,trifle,1300
n07614500,ice cream,1300
n07615774,ice lolly,1300
n07684084,French loaf,1300
n07693725,bagel,1300
n07695742,pretzel,1300
n07697313,cheeseburger,1300
n07697537,hotdog,1300
n07711569,mashed potato,1300
n07714571,head cabbage,1300
n07714990,broccoli,1300
n07715103,cauliflower,1300
n07716358,zucchini,1300
n07717410,acorn squash,1300
n07717556,butternut squash,1300
n07718472,cucumber,1300
n07718747,artichoke,1300
n07720875,bell pepper,1300
n07734744,mushroom,1300
n07742313,Granny Smith,1300
n07745940,strawberry,1300
n07747607,orange,1300
n07749582,lemon,1300
n07753113,fig,1300
n07753275,pineapple,1300
n07753592,banana,1300
n07754684,jackfruit,1300
n07760859,custard apple,1300
n07768694,pomegranate,1300
n07802026,hay,1300
n07831146,carbonara,1300
n07836838,chocolate sauce,1300
n07860988,dough,1300
n07871810,meat loaf,1300
n07873807,pizza,1300
n07875152,potpie,1300
n07880968,burrito,1300
n07892512,red wine,1300
n07920052,espresso,1300
n07930864,cup,1300
n09193705,alp,1300
n09229709,bubble,1300
n09246464,cliff,1300
n09256479,coral reef,1300
n09288635,geyser,1300
n09332890,lakeside,1300
n09399592,promontory,1300
n09421951,sandbar,1300
n09428293,seashore,1300
n09468604,valley,1300
n09472597,volcano,1300
n09835506,ballplayer,1300
n10148035,groom,1300
n10565667,scuba diver,1300
n11879895,rapeseed,1300
n11939491,daisy,1300
n12057211,yellow lady's slipper,1300
n12144580,corn,1300
n12267677,acorn,1300
n12620546,hip,1300
n12768682,buckeye,1300
n12985857,coral fungus,1300
n12998815,agaric,1300
n13037406,gyromitra,1300
n13040303,stinkhorn,1300
n13044778,earthstar,1300
n13052670,hen-of-the-woods,1300
n13054560,bolete,1300
n13133613,ear,1300
n15075141,toilet tissue,1300
n04548280,wall clock,1299
n02708093,analog clock,1292
n02090379,redbone,1290
n03595614,jersey,1285
n03467068,guillotine,1283
n03447721,gong,1282
n03942813,ping-pong ball,1282
n02093859,Kerry blue terrier,1273
n01873310,platypus,1272
n03690938,lotion,1272
n03956157,planetarium,1270
n04152593,screen,1267
n01704323,triceratops,1266
n04418357,theater curtain,1264
n04127249,safety pin,1259
n02093647,Bedlington terrier,1258
n03970156,plunger,1254
n04040759,radiator,1253
n04443257,tobacco shop,1250
n04201297,shoji,1249
n04023962,punching bag,1247
n07716906,spaghetti squash,1239
n04266014,space shuttle,1238
n02783161,ballpoint,1236
n03400231,frying pan,1222
n02099429,curly-coated retriever,1218
n04357314,sunscreen,1217
n03075370,combination lock,1216
n04591157,Windsor tie,1213
n03216828,dock,1211
n02817516,bearskin,1209
n07584110,consomme,1207
n02356798,fox squirrel,1206
n04612504,yawl,1206
n02794156,barometer,1199
n03000684,chain saw,1194
n07932039,eggnog,1193
n03133878,Crock Pot,1187
n02978881,cassette,1186
n03814639,neck brace,1180
n02916936,bulletproof vest,1176
n02526121,eel,1165
n04238763,slide rule,1162
n04485082,tripod,1160
n03796401,moving van,1159
n03929660,pick,1157
n02096437,Dandie Dinmont,1156
n03903868,pedestal,1156
n03706229,magnetic compass,1155
n03781244,monastery,1155
n03062245,cocktail shaker,1154
n07248320,book jacket,1154
n03314780,face powder,1153
n04311004,steel arch bridge,1153
n03899768,patio,1152
n02066245,grey whale,1150
n03777754,modem,1149
n07590611,hot pot,1149
n01855032,red-breasted merganser,1141
n03680355,Loafer,1137
n04542943,waffle iron,1137
n02088632,bluetick,1136
n03297495,espresso maker,1136
n03803284,muzzle,1133
n07730033,cardoon,1125
n03843555,oil filter,1120
n03947888,pirate,1118
n01688243,frilled lizard,1117
n03944341,pinwheel,1117
n03764736,milk can,1097
n04328186,stopwatch,1084
n01744401,rock python,1071
n02112706,Brabancon griffon,1070
n03958227,plastic bag,1069
n03041632,cleaver,1067
n04525038,velvet,1062
n04579145,whiskey jug,1055
n03961711,plate rack,1053
n04479046,trench coat,1053
n04264628,space bar,1045
n03485407,hand-held computer,1034
n03045698,cloak,1029
n04125021,safe,1029
n02089867,Walker hound,1025
n03866082,overskirt,1005
n04265275,space heater,1004
n03658185,letter opener,986
n03476991,hair spray,980
n02095314,wire-haired fox terrier,977
n04429376,throne,976
n02102973,Irish water spaniel,969
n02606052,rock beauty,969
n03920288,Petri dish,962
n02110627,affenpinscher,954
n02095889,Sealyham terrier,936
n04370456,sweatshirt,931
n03995372,power drill,908
n03498962,hatchet,891
n03197337,digital watch,889
n02087046,toy terrier,860
n02085782,Japanese spaniel,772
n02113978,Mexican hairless,755
n02089973,English foxhound,754
n02091635,otterhound,738
n02089078,black-and-tan coonhound,732
